1;-1.02001e+06;-1.16358e+06;-900266;-1.02001e+06
2;-1.02001e+06;-1.0684e+06;-992236;-1.02001e+06
3;-1.00996e+06;-1.02495e+06;-983308;-1.00996e+06
4;-1.00467e+06;-1.05127e+06;-980954;-1.00467e+06
5;-970506;-1.0189e+06;-978678;-970506
6;-970506;-1.014e+06;-928411;-978791
7;-970506;-1.01528e+06;-957849;-976416
8;-968947;-1.00899e+06;-981167;-968947
9;-963275;-1.02424e+06;-934427;-963275
10;-959215;-973177;-960144;-959215
11;-949909;-1.01186e+06;-894763;-949909
12;-947285;-967692;-920286;-947285
13;-943217;-969989;-891710;-943217
14;-943217;-968014;-936859;-946195
15;-912308;-980258;-902042;-912308
16;-912308;-959291;-926654;-912308
17;-899782;-959660;-935438;-899782
18;-899782;-957332;-882804;-907177
19;-899782;-940073;-871915;-901695
20;-891776;-954127;-874885;-891776
21;-873564;-902463;-853375;-873564
22;-873564;-927629;-854702;-873564
23;-871159;-918776;-832944;-871159
24;-853115;-906428;-802441;-853115
25;-846780;-885155;-830848;-846780
26;-833714;-887332;-791228;-833714
27;-833714;-888949;-822302;-856793
28;-833714;-872041;-836460;-856106
29;-833714;-863004;-820313;-837720
30;-833714;-861670;-814340;-835824
31;-827739;-848354;-802786;-827739
32;-822375;-881494;-817440;-822375
33;-822375;-862540;-805290;-822375
34;-813520;-829981;-767723;-813520
35;-808412;-865338;-776921;-808412
36;-806936;-846784;-780116;-806936
37;-790076;-824446;-783871;-790076
38;-790076;-814381;-755382;-790076
39;-790076;-834346;-786581;-794892
40;-790076;-793295;-757462;-790257
41;-784463;-819536;-745168;-784463
42;-776336;-819001;-741878;-776336
43;-776336;-820381;-744596;-783382
44;-776336;-806018;-756654;-777998
45;-763475;-819543;-771657;-763475
46;-763475;-772600;-777742;-769240
47;-762487;-796794;-742094;-762487
48;-762487;-781377;-765648;-769240
49;-762487;-812090;-754841;-767955
50;-760767;-788755;-751762;-760767
51;-760767;-819982;-727238;-765392
52;-760767;-769814;-762602;-765868
53;-759917;-783952;-743322;-759917
54;-756803;-785009;-686846;-756803
55;-752459;-769212;-717750;-752459
56;-752459;-768679;-753406;-753625
57;-748028;-769129;-714079;-748028
58;-748028;-761738;-741714;-749782
59;-747075;-763254;-725565;-747075
60;-747075;-765272;-692704;-749676
61;-740977;-780431;-739556;-740977
62;-739589;-760505;-720899;-739589
63;-735237;-759874;-719043;-735237
64;-735237;-801547;-702488;-739928
65;-735237;-777002;-712921;-737824
66;-734886;-761745;-727833;-734886
67;-733528;-749724;-726630;-733528
68;-733528;-749137;-728727;-734731
69;-730811;-742537;-704256;-730811
70;-730581;-751785;-736794;-730581
71;-727679;-737318;-726156;-727679
72;-717580;-769707;-719620;-717580
73;-717580;-753762;-710011;-729672
74;-705962;-738464;-699790;-705962
75;-705962;-735998;-709314;-705962
76;-702077;-747172;-686787;-702077
77;-702077;-711362;-711336;-704020
78;-689642;-745656;-656938;-689642
79;-689642;-727848;-670630;-702158
80;-689642;-726703;-663378;-695612
81;-689642;-735678;-679469;-700370
82;-689642;-712944;-658268;-698595
83;-689642;-726888;-682038;-695615
84;-689642;-706601;-673719;-691201
85;-685920;-721815;-676673;-685920
86;-683797;-717340;-658326;-683797
87;-677691;-695969;-670824;-677691
88;-677691;-707317;-639853;-680745
89;-673572;-681094;-661151;-673572
90;-673572;-699016;-673066;-676457
91;-673572;-708590;-648760;-676293
92;-673572;-713440;-660410;-674354
93;-667659;-678943;-622196;-667659
94;-667659;-675372;-637007;-673428
95;-661696;-672657;-663933;-661696
96;-659073;-705396;-653618;-659073
97;-659073;-682783;-683709;-663898
98;-658124;-671286;-655715;-658124
99;-656839;-689234;-646784;-656839
100;-653593;-691014;-632009;-653593
